Age,Gender,Income,Total_Spend,Num_Purchases,Product_Category
56,Female,50269,663.55,39,Groceries
58,Male,147569,3504.62,38,Electronics
45,Male,106312,2263.58,44,Groceries
24,Female,127352,4730.43,33,Groceries
26,Female,109732,793.9,21,Groceries
25,Female,147658,3249.88,26,Groceries
29,Female,137648,1971.7,46,Clothing
51,Female,111494,4788.39,36,Clothing
50,Female,118905,1716.88,5,Clothing
65,Female,107225,4814.71,33,Groceries
40,Male,112867,4517.28,1,Clothing
41,Male,67528,1424.88,6,Groceries
54,Male,108972,4037.35,37,Clothing
52,Female,95602,4978.46,2,Groceries
61,Female,126261,1338.05,5,Clothing
57,Female,120748,2240.21,26,Clothing
39,Male,63332,2648.89,41,Clothing
44,Female,120937,1545.16,47,Groceries
52,Female,108929,174.8,13,Groceries
18,Male,99206,1178.63,12,Clothing
52,Female,121137,1481.49,5,Groceries
54,Male,32251,2273.64,2,Electronics
64,Male,75717,938.4,4,Clothing
31,Female,129108,4378.95,27,Clothing
20,Female,57027,3554.06,10,Electronics
18,Female,127382,517.48,13,Groceries
22,Male,116551,3285.45,44,Groceries
43,Male,39583,3302.92,2,Groceries
31,Male,80387,4785.48,26,Clothing
56,Female,53104,114.8,15,Clothing
44,Female,42224,1314.87,46,Clothing
26,Female,90624,4646.18,10,Clothing
32,Female,86058,4667.46,22,Clothing
32,Male,134320,3630.87,40,Groceries
43,Male,126372,3852.24,25,Electronics
59,Male,59299,548.27,15,Groceries
30,Male,108572,2617.99,13,Groceries
68,Female,115469,1234.76,8,Clothing
49,Female,107928,987.97,21,Electronics
56,Female,103474,4070.49,21,Electronics
66,Male,34141,761.69,22,Groceries
69,Male,53350,2396.39,46,Electronics
49,Female,105082,4699.03,33,Groceries
21,Female,100871,1010.58,45,Groceries
47,Male,35077,4892.17,27,Groceries
54,Female,76015,4972.01,40,Groceries
40,Male,101147,2822.52,22,Clothing
56,Male,89180,933.7,30,Electronics
62,Male,70857,1648.91,9,Clothing
32,Female,131196,2180.01,45,Clothing
60,Female,89840,1615.69,35,Clothing
46,Male,89902,1475.11,18,Groceries
53,Female,35577,4863.93,42,Groceries
30,Male,50002,851.49,5,Clothing
49,Male,80711,3693.31,27,Clothing
24,Male,69451,102.01,6,Electronics
68,Male,129811,3021.3,32,Clothing
39,Female,79103,4588.12,8,Groceries
45,Male,58647,1510.88,39,Clothing
19,Male,64831,1009.08,21,Electronics
59,Female,148330,3293.23,18,Electronics
62,Male,130304,3591.75,14,Clothing
23,Male,126498,3471.35,15,Electronics
45,Female,143870,1664.65,42,Electronics
45,Female,125119,1335.79,26,Groceries
61,Female,96830,4784.0,44,Electronics
61,Male,110632,4624.17,32,Electronics
37,Female,66833,2340.85,39,Clothing
47,Female,142394,4246.35,28,Groceries
28,Male,122864,2316.39,39,Electronics
45,Male,54398,2179.51,43,Clothing
42,Male,91554,868.14,32,Clothing
56,Male,80755,2189.39,13,Clothing
50,Male,47706,2733.34,15,Clothing
18,Female,52340,210.27,18,Clothing
44,Female,94994,2276.15,39,Clothing
69,Female,93884,3928.65,6,Electronics
30,Male,114361,3432.23,11,Groceries
58,Male,47482,3212.27,32,Groceries
20,Male,84225,4556.82,40,Clothing
56,Female,88849,188.36,20,Clothing
23,Female,104854,2829.53,33,Groceries
25,Male,71256,3958.01,40,Electronics
44,Female,139545,2752.54,8,Clothing
26,Male,138721,1687.09,35,Groceries
54,Female,111110,767.63,5,Groceries
50,Female,143606,4449.06,35,Clothing
68,Female,44650,2406.74,47,Groceries
59,Male,76118,4402.76,14,Electronics
61,Female,58930,2970.68,21,Groceries
41,Female,115707,3403.54,47,Clothing
32,Male,130400,4040.88,24,Clothing
49,Female,41801,3329.86,17,Groceries
49,Male,81360,2050.47,18,Groceries
41,Male,117908,2616.8,34,Clothing
58,Male,46559,4034.92,12,Electronics
69,Male,62334,1930.89,16,Groceries
66,Male,135473,2001.8,4,Electronics
66,Female,43288,568.88,25,Electronics
69,Male,52398,4581.46,34,Clothing
29,Male,106230,546.08,28,Clothing
56,Male,42191,3276.22,46,Clothing
19,Male,48051,2124.65,11,Electronics
20,Female,91715,2087.54,13,Clothing
66,Male,40737,3429.8,31,Clothing
54,Female,95140,428.76,25,Electronics
66,Male,55251,3009.16,39,Electronics
34,Female,80975,3882.96,10,Electronics
66,Male,35147,4158.24,24,Electronics
19,Male,80508,935.6,1,Groceries
19,Female,82224,4497.35,25,Clothing
45,Male,49643,3315.12,28,Groceries
40,Female,68967,4421.09,36,Electronics
54,Male,128850,2477.88,18,Electronics
49,Female,133535,2755.96,6,Electronics
50,Male,70733,4603.29,2,Electronics
18,Male,114003,4509.56,3,Electronics
36,Female,64808,2295.99,46,Clothing
19,Male,149222,1444.62,8,Groceries
61,Male,97288,2026.54,31,Groceries
43,Male,88959,2000.05,48,Clothing
49,Male,31849,1505.65,19,Clothing
23,Male,98178,1416.04,6,Clothing
49,Male,97136,4319.21,14,Groceries
21,Female,90740,442.32,3,Groceries
28,Female,142255,3420.29,48,Electronics
34,Female,116322,946.82,1,Groceries
55,Male,74565,1788.08,44,Groceries
41,Female,50183,401.56,30,Clothing
22,Male,145306,1422.87,46,Groceries
69,Male,31132,3865.26,19,Electronics
51,Male,68259,4436.58,19,Groceries
23,Male,126612,1185.48,9,Clothing
39,Female,93668,2371.38,7,Clothing
28,Male,68563,2404.59,46,Electronics
65,Female,122227,4380.52,37,Electronics
33,Male,138835,3837.72,41,Groceries
50,Female,40931,2614.08,7,Electronics
26,Female,103169,3386.66,9,Electronics
23,Female,80639,4252.04,4,Clothing
33,Female,133313,146.74,25,Clothing
46,Female,88901,2074.16,49,Groceries
20,Female,130417,4545.49,12,Groceries
37,Male,31044,3727.53,6,Groceries
53,Female,76691,2759.92,18,Groceries
36,Male,130735,2695.26,40,Clothing
43,Female,54363,1804.07,21,Groceries
20,Male,76694,2650.55,15,Groceries
36,Female,31582,3311.38,3,Electronics
37,Female,109910,2149.98,2,Groceries
49,Male,96844,3599.35,41,Electronics
24,Female,51301,4320.04,40,Clothing
69,Female,104329,857.96,4,Groceries
58,Female,31620,2312.58,32,Electronics
50,Male,92224,2099.3,2,Groceries
57,Female,86655,3468.58,46,Electronics
56,Male,125419,1324.35,29,Groceries
35,Female,67534,3237.23,2,Clothing
57,Female,133496,4399.7,34,Clothing
18,Male,69390,2148.84,27,Electronics
28,Female,101629,4563.98,39,Electronics
45,Female,85856,4966.5,44,Clothing
42,Male,79252,619.85,38,Groceries
67,Female,85809,1241.96,18,Electronics
40,Male,52259,4756.86,36,Clothing
48,Male,50655,4795.81,19,Electronics
47,Male,63005,578.77,27,Clothing
59,Female,61629,173.49,45,Clothing
52,Male,53610,889.39,20,Electronics
24,Male,87184,4980.46,21,Electronics
33,Female,51602,982.0,23,Clothing
43,Male,115945,2562.48,30,Groceries
65,Female,41110,4257.25,25,Clothing
69,Female,36073,199.97,31,Groceries
66,Female,130846,3062.0,27,Groceries
19,Female,110818,1457.42,34,Groceries
18,Male,40195,4325.44,8,Electronics
65,Male,31537,1488.96,19,Clothing
29,Male,47138,3465.1,41,Clothing
22,Male,74328,3403.68,26,Groceries
54,Male,76202,1185.32,28,Groceries
49,Female,70164,270.52,4,Groceries
26,Male,119743,2105.32,31,Clothing
58,Male,84659,1517.05,16,Groceries
52,Male,116155,4063.99,10,Clothing
36,Female,79692,4021.78,38,Clothing
65,Female,54845,2339.42,48,Electronics
33,Male,119846,3071.91,10,Groceries
20,Female,133435,3060.87,45,Groceries
37,Male,60562,4153.07,9,Groceries
41,Male,58036,2182.51,39,Electronics
50,Female,90752,1449.69,36,Groceries
41,Female,104233,1398.67,36,Clothing
69,Male,113049,2727.34,19,Groceries
28,Male,138575,2300.83,19,Clothing
66,Female,98681,2256.59,12,Clothing
25,Male,57818,546.57,13,Clothing
53,Female,60544,3621.16,25,Clothing
55,Male,92532,1147.31,36,Groceries
57,Female,108636,1065.07,25,Electronics
37,Male,87705,2122.52,28,Electronics
52,Male,50104,1216.11,42,Clothing
65,Female,99603,2960.91,39,Groceries
42,Male,132499,1920.17,30,Electronics
52,Male,89025,2299.67,5,Groceries
42,Female,126264,2732.13,17,Electronics
46,Male,62317,1097.32,18,Clothing
35,Male,61416,863.18,43,Clothing
63,Male,72012,4414.07,47,Clothing
35,Female,135585,2225.25,21,Electronics
19,Female,98045,2119.26,22,Groceries
52,Female,51400,274.5,39,Clothing
33,Male,78270,2540.08,6,Groceries
58,Male,102069,2815.43,16,Groceries
53,Male,149415,2838.32,2,Clothing
50,Male,79833,3564.45,1,Electronics
21,Female,93644,969.66,30,Clothing
50,Male,110206,1335.89,43,Clothing
31,Male,99468,4072.58,37,Electronics
38,Male,142899,4741.14,48,Groceries
65,Female,89473,766.07,23,Electronics
37,Male,75809,2538.48,1,Electronics
25,Male,68328,1149.46,19,Clothing
24,Male,66784,394.36,46,Electronics
20,Male,53723,1694.97,3,Electronics
34,Male,90646,804.07,2,Electronics
50,Female,96255,3578.67,37,Groceries
65,Male,30074,2715.25,17,Groceries
29,Male,56498,804.79,28,Clothing
68,Male,95522,145.28,18,Clothing
39,Male,126881,4059.97,33,Groceries
39,Male,50541,963.35,15,Electronics
63,Male,75929,3070.46,22,Clothing
47,Male,130453,1750.92,41,Clothing
55,Male,56028,2968.88,27,Electronics
55,Male,59545,1646.7,37,Electronics
62,Male,109569,526.0,32,Electronics
68,Female,61673,1192.46,45,Electronics
25,Female,60974,1021.49,19,Electronics
44,Female,88899,2197.29,28,Groceries
44,Female,53097,3325.59,28,Electronics
51,Male,132511,1392.65,10,Clothing
38,Female,123144,159.14,20,Groceries
47,Female,94824,2642.79,25,Clothing
50,Male,53525,3068.22,21,Electronics
45,Female,87804,4818.07,14,Clothing
64,Female,45043,2988.41,22,Electronics
50,Male,71846,2408.75,26,Clothing
22,Male,107261,2909.67,44,Clothing
65,Male,132240,4646.71,11,Electronics
36,Female,137611,4159.05,7,Clothing
21,Female,80227,1682.6,17,Groceries
52,Male,83028,1262.55,18,Clothing
66,Male,67383,1386.9,7,Groceries
34,Female,59483,2571.66,20,Groceries
61,Male,37265,3745.84,38,Clothing
45,Female,52763,2565.77,11,Groceries
47,Male,105652,432.2,44,Groceries
46,Male,45733,3645.55,16,Clothing
63,Female,142196,4049.25,27,Electronics
23,Male,121038,1518.54,11,Electronics
52,Male,67420,3354.22,16,Groceries
58,Male,138777,2190.3,23,Groceries
54,Female,39247,4456.68,12,Electronics
41,Male,53840,4241.61,40,Groceries
46,Male,95149,2674.62,3,Electronics
66,Male,51058,3488.38,2,Clothing
63,Male,145229,4428.41,38,Groceries
48,Male,64929,2529.01,48,Clothing
52,Male,114171,1634.93,24,Electronics
50,Female,121164,3792.96,29,Electronics
69,Female,61362,1178.32,47,Clothing
38,Male,116489,2003.8,46,Groceries
49,Female,114664,4342.06,34,Clothing
40,Female,77356,3649.67,20,Clothing
50,Male,107597,2078.67,18,Groceries
20,Female,36041,1152.25,14,Electronics
35,Female,108209,1844.25,18,Clothing
42,Female,91954,1492.11,2,Clothing
59,Female,91869,962.84,1,Electronics
48,Female,51059,3742.33,20,Clothing
20,Female,129864,1335.14,34,Electronics
57,Female,74722,2325.42,41,Groceries
63,Female,47548,1990.71,41,Electronics
41,Male,45078,4912.18,48,Electronics
67,Male,35419,2016.35,11,Clothing
49,Female,65490,491.91,27,Electronics
64,Female,106086,540.15,23,Electronics
39,Male,145158,2994.69,38,Clothing
40,Female,88760,3036.88,44,Electronics
19,Female,60337,2151.92,3,Clothing
44,Male,31468,2216.03,12,Groceries
59,Male,54309,364.27,30,Electronics
19,Male,96344,2631.08,31,Groceries
43,Female,120283,2573.22,23,Electronics
34,Female,102255,832.79,1,Electronics
57,Male,111899,608.81,41,Groceries
50,Male,58718,705.51,20,Groceries
26,Female,124337,595.04,6,Clothing
60,Male,138895,3087.57,11,Clothing
65,Female,67841,1062.76,35,Groceries
56,Female,103548,1332.01,4,Electronics
46,Male,113565,950.5,29,Clothing
59,Male,76660,4793.39,10,Electronics
43,Female,136553,4287.63,29,Clothing
52,Male,80281,1229.42,38,Clothing
67,Male,143451,1705.07,1,Clothing
42,Male,146041,1128.47,40,Groceries
41,Male,30767,2510.19,8,Electronics
30,Female,33895,196.09,38,Groceries
24,Female,88026,3389.7,17,Clothing
53,Female,148142,2663.47,19,Groceries
62,Female,72968,4503.33,33,Groceries
37,Male,70097,905.52,15,Groceries
18,Male,45332,4040.14,45,Electronics
25,Female,44621,3980.61,31,Groceries
63,Female,106870,723.19,21,Groceries
33,Male,48174,2052.94,3,Groceries
31,Female,129189,933.75,2,Groceries
29,Female,70502,1348.13,35,Groceries
68,Male,66674,1389.91,41,Groceries
40,Female,67260,2825.56,16,Groceries
32,Male,72498,2115.91,45,Clothing
45,Male,97609,4743.89,21,Groceries
51,Female,79464,719.21,12,Groceries
19,Male,101805,4871.09,28,Electronics
49,Female,94919,1230.13,12,Clothing
40,Male,84469,3887.08,33,Groceries
39,Female,47194,1760.95,20,Electronics
68,Female,56811,801.1,40,Groceries
42,Female,102377,4303.66,49,Groceries
39,Male,73723,1613.42,21,Groceries
39,Male,130336,3328.39,39,Groceries
66,Female,105235,2875.57,41,Groceries
69,Male,141041,2411.61,49,Electronics
59,Female,106298,2529.52,42,Groceries
23,Female,89238,3687.97,36,Electronics
32,Male,135433,530.09,22,Groceries
60,Female,147393,3374.09,26,Electronics
54,Male,137092,4489.48,7,Clothing
50,Female,32147,383.16,7,Groceries
25,Male,128919,789.2,8,Clothing
61,Female,129251,3611.5,26,Clothing
61,Female,68445,2242.68,24,Clothing
22,Male,83803,2077.39,24,Groceries
56,Female,91108,771.14,40,Clothing
21,Female,136170,2583.17,48,Electronics
23,Male,32013,720.07,12,Groceries
62,Female,115617,2435.44,47,Clothing
49,Male,112410,3841.71,8,Groceries
69,Female,83502,1365.5,9,Clothing
47,Male,147116,2455.85,3,Electronics
64,Female,67755,4960.88,21,Groceries
52,Female,38733,3464.59,31,Groceries
57,Female,39479,4222.65,48,Clothing
69,Male,105361,2132.75,47,Electronics
33,Male,51304,3862.52,24,Groceries
30,Male,65694,298.49,4,Clothing
67,Male,135586,702.26,20,Electronics
59,Female,111171,1095.05,16,Electronics
47,Female,144151,2069.56,10,Electronics
36,Male,116296,4244.15,43,Electronics
34,Male,39490,1796.7,26,Groceries
36,Male,51252,3307.64,29,Groceries
45,Female,135290,3575.64,5,Electronics
43,Male,36862,2972.29,11,Clothing
54,Male,140463,1850.49,29,Clothing
43,Female,99959,2927.56,45,Electronics
40,Female,40450,1777.1,15,Electronics
26,Male,86022,510.98,6,Clothing
29,Female,91991,4964.74,48,Electronics
18,Male,70927,723.19,15,Electronics
18,Female,130377,454.51,43,Groceries
64,Male,118090,4404.8,20,Groceries
51,Male,79853,1578.99,34,Electronics
49,Male,61826,3286.46,2,Electronics
65,Male,72879,1712.13,44,Groceries
42,Female,87265,2018.13,16,Electronics
57,Female,102361,1384.35,19,Groceries
62,Female,138956,1780.92,34,Groceries
18,Female,107990,2112.43,49,Clothing
33,Male,119787,3630.04,14,Groceries
56,Male,116184,2606.53,24,Clothing
22,Female,70736,4723.47,28,Clothing
39,Female,54530,305.21,48,Groceries
46,Female,108052,2565.03,32,Electronics
20,Female,77058,2962.7,37,Groceries
29,Female,136080,4608.97,10,Clothing
43,Male,104094,340.88,49,Groceries
33,Male,104255,2910.15,45,Groceries
68,Male,34886,4282.79,48,Clothing
54,Female,123721,1285.45,9,Groceries
39,Female,148623,4393.83,24,Groceries
46,Female,67387,193.31,36,Clothing
31,Female,51575,3689.03,29,Electronics
45,Male,142260,4672.25,29,Clothing
22,Male,138649,3320.27,48,Clothing
64,Female,69643,2251.24,23,Groceries
66,Male,40100,319.92,27,Clothing
47,Male,90356,4608.56,31,Groceries
63,Female,37856,2404.45,43,Groceries
69,Female,68169,242.08,7,Groceries
22,Female,58804,3480.12,49,Clothing
29,Female,65790,2461.0,45,Clothing
33,Female,60988,709.29,4,Groceries
43,Female,139979,1149.93,14,Electronics
43,Male,106448,416.0,42,Electronics
65,Male,68506,2914.04,42,Clothing
38,Female,143430,3147.94,10,Groceries
56,Male,117904,2578.14,44,Groceries
53,Female,97306,4103.8,34,Clothing
50,Female,42305,4318.94,26,Electronics
47,Female,39969,3116.56,23,Clothing
54,Female,42404,162.51,9,Clothing
40,Male,38989,3506.63,37,Groceries
27,Female,95305,2148.2,8,Clothing
22,Male,65983,2871.23,14,Electronics
53,Female,140284,3280.49,7,Clothing
51,Female,69462,1816.16,7,Groceries
69,Female,49360,4593.78,9,Electronics
48,Male,115657,756.48,3,Groceries
27,Female,56287,3390.41,14,Clothing
36,Female,95472,121.36,17,Clothing
49,Female,145440,4630.79,44,Clothing
18,Male,138965,651.27,22,Groceries
22,Male,91313,564.93,46,Clothing
62,Male,64160,1731.74,26,Electronics
21,Female,36789,1930.47,28,Electronics
33,Male,57181,1150.07,45,Groceries
41,Female,44385,2967.1,14,Groceries
33,Male,112597,2270.28,9,Groceries
19,Male,95641,267.46,26,Clothing
66,Female,74247,1666.3,2,Electronics
45,Male,116673,4071.12,11,Electronics
49,Female,130250,3479.54,17,Electronics
44,Female,35544,3651.87,34,Groceries
37,Male,145783,3520.77,19,Groceries
41,Female,43275,1623.77,39,Clothing
29,Female,135289,588.35,18,Groceries
67,Male,93248,1435.09,13,Electronics
52,Male,64550,4175.75,5,Clothing
50,Female,83693,4904.31,23,Groceries
50,Male,49641,2519.85,24,Groceries
68,Female,101749,147.53,29,Electronics
60,Female,110021,786.22,48,Clothing
54,Male,45605,1678.19,47,Groceries
29,Male,133173,2935.07,8,Groceries
20,Male,80713,467.96,26,Clothing
18,Male,50390,4722.45,15,Clothing
50,Female,105403,1888.91,1,Groceries
57,Female,88466,4571.66,28,Groceries
27,Male,33981,3924.56,49,Electronics
60,Male,39493,3801.64,47,Clothing
61,Female,101218,3072.93,46,Groceries
46,Female,101318,3171.24,14,Groceries
30,Female,145631,3226.22,42,Groceries
29,Female,149238,3180.73,34,Groceries
48,Male,125335,2813.27,31,Electronics
63,Female,137441,4933.43,6,Clothing
19,Female,46984,3688.22,49,Groceries
68,Male,141316,3907.04,5,Clothing
67,Female,52760,4375.07,31,Clothing
52,Female,121529,1156.63,37,Groceries
40,Male,31524,510.64,15,Groceries
34,Male,148454,2466.18,15,Groceries
43,Male,79402,2619.0,43,Electronics
25,Female,121656,4162.99,5,Groceries
46,Female,95614,2274.54,28,Clothing
43,Male,65891,2897.18,33,Clothing
27,Male,121009,2682.65,11,Electronics
43,Female,69832,287.19,43,Groceries
51,Male,75836,3114.55,6,Groceries
68,Male,103953,4157.41,23,Electronics
58,Male,43362,871.75,40,Electronics
24,Female,96745,3012.23,2,Groceries
21,Female,67921,3008.69,15,Groceries
67,Female,100434,904.51,23,Clothing
62,Female,48562,704.97,22,Groceries
28,Female,94510,4902.25,9,Groceries
46,Female,106407,2029.22,47,Clothing
53,Male,37610,1214.37,40,Clothing
42,Female,139381,939.49,30,Clothing
38,Female,122918,3371.25,16,Clothing
53,Male,45791,3086.28,46,Electronics
27,Female,88047,3253.41,47,Clothing
54,Female,130848,531.23,30,Electronics
26,Male,133826,4478.32,45,Clothing
41,Male,97906,2007.41,9,Clothing
52,Male,49665,1635.51,1,Clothing
66,Female,100246,2365.57,38,Groceries
52,Male,95864,2011.32,8,Electronics
65,Female,76451,4331.53,18,Clothing
53,Female,133883,4653.38,27,Groceries
35,Female,116148,1586.92,18,Electronics
66,Female,75890,4333.29,32,Electronics
56,Male,36794,3929.46,49,Groceries
49,Male,62888,4660.96,32,Electronics
41,Female,36749,1304.18,48,Groceries
40,Male,76531,2927.1,45,Clothing
49,Female,145652,1445.27,36,Groceries
54,Female,50608,4138.06,36,Electronics
29,Female,110986,126.09,21,Electronics
66,Male,99211,2867.61,46,Clothing
30,Female,113996,1762.1,32,Groceries
40,Female,86017,1681.15,31,Clothing
42,Male,133947,3260.04,37,Groceries
52,Male,87676,4272.27,16,Groceries
58,Male,41560,3085.06,46,Groceries
47,Male,84401,4280.55,46,Clothing
34,Female,80468,1396.53,14,Clothing
66,Male,145884,2645.56,24,Electronics
37,Female,62463,2307.63,25,Clothing
65,Male,61663,157.06,46,Groceries
42,Male,143687,2828.38,35,Groceries
39,Male,98706,3341.47,17,Groceries
30,Male,88773,3000.38,46,Clothing
36,Male,63123,3707.77,42,Electronics
66,Male,124346,2899.56,45,Clothing
53,Female,39718,427.08,4,Electronics
29,Male,92637,670.58,11,Clothing
58,Male,30028,3022.73,47,Groceries
36,Male,92370,1447.4,15,Electronics
29,Male,77599,490.26,30,Clothing
26,Female,47397,2205.05,24,Groceries
24,Male,139198,2816.18,2,Electronics
45,Male,137323,1710.86,43,Electronics
31,Male,75406,3630.13,34,Groceries
48,Male,77657,3254.48,23,Groceries
69,Female,97560,1730.81,31,Clothing
36,Male,134143,3798.88,37,Clothing
64,Female,43503,3278.61,13,Groceries
33,Male,84943,3223.48,33,Clothing
22,Female,105839,2811.8,7,Groceries
52,Female,112674,155.81,32,Groceries
29,Male,55345,3512.89,7,Clothing
42,Male,148423,1942.6,42,Clothing
69,Female,80390,4718.79,38,Electronics
38,Female,125041,4108.13,44,Electronics
53,Male,89557,2979.7,13,Clothing
40,Female,95054,1335.69,24,Clothing
33,Female,31906,1098.22,28,Clothing
56,Female,70167,1767.89,32,Electronics
62,Male,37961,2435.18,43,Clothing
59,Female,56140,1550.72,18,Electronics
56,Female,149289,2623.15,34,Electronics
31,Female,88701,910.32,48,Electronics
48,Male,107567,4890.79,34,Electronics
22,Male,110664,628.83,38,Groceries
52,Female,111199,4666.53,1,Clothing
40,Male,129764,4576.53,43,Clothing
46,Female,111218,2674.27,42,Groceries
60,Male,110729,3652.06,31,Clothing
28,Male,58561,2236.64,1,Electronics
35,Female,80568,3187.17,16,Groceries
64,Male,139349,1768.82,39,Electronics
29,Male,103302,1575.68,15,Groceries
26,Male,125380,2933.33,33,Electronics
27,Female,124968,2540.84,23,Clothing
61,Male,59504,2939.73,41,Clothing
34,Male,146116,1504.64,34,Clothing
55,Female,67146,1898.09,17,Groceries
24,Male,70297,511.1,25,Clothing
63,Male,116394,356.15,42,Groceries
30,Male,98607,1341.94,6,Electronics
57,Male,46939,463.81,31,Clothing
59,Male,120467,608.5,5,Electronics
26,Female,80715,4083.35,40,Clothing
67,Female,74460,290.48,40,Electronics
44,Male,96576,3328.82,30,Groceries
19,Male,98222,1435.53,5,Clothing
22,Male,42666,4370.57,12,Groceries
46,Female,92119,2476.46,7,Groceries
54,Female,65321,1597.32,45,Electronics
55,Male,31779,2636.43,13,Clothing
36,Male,43186,1971.59,49,Groceries
25,Female,46459,2865.08,4,Electronics
65,Male,116246,661.21,42,Electronics
62,Female,117755,4985.25,3,Electronics
18,Female,35057,2185.22,12,Clothing
39,Male,90663,1806.33,1,Clothing
69,Female,48733,3580.03,27,Electronics
34,Male,49157,1883.11,43,Clothing
24,Male,65030,4183.04,13,Electronics
42,Male,49613,2325.93,17,Clothing
